Country,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI Rank
Switzerland,0.962,83.9872,16.50029945,13.85966015,66933.00454,5,3
Norway,0.961,83.2339,18.18519974,13.00362968,64660.10622,6,1
Iceland,0.959,82.6782,19.16305923,13.76716995,55782.04981,11,2
"Hong Kong, China (SAR)",0.952,85.4734,17.27816963,12.22620964,62606.8454,6,4
Australia,0.951,84.5265,21.05459023,12.72681999,49238.43335,18,5
Denmark,0.948,81.3753,18.71479988,12.96049023,60364.78595,6,5
Sweden,0.947,82.9833,19.41852951,12.60972023,54489.37401,9,9
Ireland,0.945,81.9976,18.94522095,11.58222303,76168.98443,-3,8
Germany,0.942,80.6301,17.01013947,14.09096691,54534.21682,6,7
Netherlands,0.941,81.6873,18.69316522,12.58162975,55979.411,3,10
Finland,0.94,82.0381,19.05192947,12.87362003,49452.16672,11,12
Singapore,0.939,82.7545,16.5243206,11.92488003,90918.64471,-10,10
Belgium,0.937,81.8787,19.60421944,12.37567997,52293.39977,7,16
New Zealand,0.937,82.4513,20.28388977,12.94468975,44057.31394,16,13
Canada,0.936,82.6565,16.39625931,13.83442722,46807.98619,9,15
Liechtenstein,0.935,83.2575,15.18157005,12.53854,146829.7006,-15,14
Luxembourg,0.93,82.6287,14.39813995,13.01519217,84649.47467,-13,17
United Kingdom,0.929,80.7422,17.30971909,13.4061203,45224.76564,9,17
Japan,0.925,84.7839,15.22162588,13.36610034,42274.29134,12,19
Korea (Republic of),0.925,83.6978,16.52173996,12.51293027,44500.93187,9,20
United States,0.921,77.1982,16.28097916,13.68342972,64765.21509,-14,21
Israel,0.919,82.255,16.05088997,13.3448664,41523.74319,10,22
Malta,0.918,83.7769,16.83856964,12.21026039,38884.45623,12,26
Slovenia,0.918,80.6904,17.65492058,12.80368042,39746.01987,10,23
Austria,0.916,81.5797,16.00795937,12.25669003,53618.67138,-8,23
United Arab Emirates,0.911,78.7104,15.71769047,12.69402981,62573.59181,-15,25
Spain,0.905,83.01,17.91690063,10.60540009,38353.60164,10,27
France,0.903,82.4988,15.81206989,11.61005974,45937.05273,-2,28
Cyprus,0.896,81.2033,15.64826965,12.44017029,38188.42152,9,29
Italy,0.895,82.8502,16.22678947,10.7401104,42839.51441,0,32
Estonia,0.89,77.1436,15.92895985,13.54843044,38048.26372,8,30
Czechia,0.889,77.7283,16.21968079,12.86931038,38745.21386,4,30
Greece,0.887,80.1106,20.02878952,11.40853024,29002.48545,17,33
Poland,0.876,76.4572,16.0271492,13.1647501,33033.96081,8,36
Bahrain,0.875,78.7605,16.29755974,11.04658985,39497.24788,-1,35
Lithuania,0.875,73.7201,16.28506088,13.49810028,37931.30359,5,34
Saudi Arabia,0.875,76.936,16.13549042,11.31052971,46111.55135,-10,38
Portugal,0.866,81.0443,16.87122917,9.575940132,33154.53343,3,39
Latvia,0.863,73.5786,16.20252991,13.25271988,32803.23423,4,37
Andorra,0.858,80.3684,13.30023874,10.55511952,51166.62661,-19,45
Croatia,0.858,77.5804,15.11209965,12.19108434,30132.28814,8,41
Chile,0.855,78.9435,16.73130035,10.9349663,24563.24486,14,43
Qatar,0.855,79.2716,12.63722038,9.99601145,87134.13469,-39,42
San Marino,0.853,80.8786,12.26613998,10.80146027,52653.82534,-25,46
Slovakia,0.848,74.9101,14.51303959,12.91141987,30690.48552,1,40
Hungary,0.846,74.5301,15.0336281,12.24958992,32789.01063,-2,44
Argentina,0.842,75.3899,17.8748703,11.14726927,20925.26814,17,47
T??rkiye,0.838,76.0324,18.3382206,8.63313961,31032.80106,-3,48
Montenegro,0.832,76.3426,15.08160973,12.17648306,20838.80129,16,52
Kuwait,0.831,78.6729,15.32443332,7.328022618,52919.76137,-32,54
Brunei Darussalam,0.829,74.6424,13.95178032,9.18,64489.53954,-42,49
Russian Federation,0.822,69.419,15.76636982,12.77428805,27166.30891,-1,49
Romania,0.821,74.1847,14.22990036,11.27511978,30027.29131,-4,53
Oman,0.816,72.5406,14.57349014,11.65404034,27054.32505,-2,51
Bahamas,0.812,71.5983,12.89945,12.64192386,30486.18429,-8,58
Kazakhstan,0.811,69.3622,15.76500034,12.34756189,23942.81837,1,59
Trinidad and Tobago,0.81,72.9709,14.53545292,11.61062419,23392.02084,1,56
Costa Rica,0.809,77.0232,16.54577065,8.804059982,19974.27358,8,57
Uruguay,0.809,75.4356,16.83259964,8.982549667,21268.88122,5,55
Belarus,0.808,72.438,15.16996956,12.14358044,18848.96704,8,60
Panama,0.805,76.2233,13.05787868,10.54059029,26956.83707,-8,67
Malaysia,0.803,74.8839,13.34304047,10.64505959,26657.94355,-8,61
Georgia,0.802,71.694,15.56851959,12.82221985,14664.16825,17,64
Mauritius,0.802,73.5552,15.17352977,10.42791048,22025.34631,-1,62
Serbia,0.802,74.1923,14.40009022,11.36987019,19123.02747,4,62
Thailand,0.8,78.7154,15.88221913,8.697119713,17030.15352,6,64
Albania,0.796,76.4626,14.44799995,11.28645502,14131.11039,17,68
Bulgaria,0.795,71.798,13.89729023,11.41318035,23078.95595,-8,64
Grenada,0.795,74.9362,18.66202035,9.032104,13483.5774,18,70
Barbados,0.79,77.5714,15.71338458,9.852700596,12306.341,26,71
Antigua and Barbuda,0.788,78.4968,14.18462641,9.293740746,16792.36595,2,71
Seychelles,0.785,71.2945,13.94161034,10.28312,25830.61775,-17,69
Sri Lanka,0.782,76.3991,14.13990486,10.82730007,12578.22055,21,75
Bosnia and Herzegovina,0.78,75.3003,13.8,10.53631973,15241.91465,4,73
Saint Kitts and Nevis,0.777,71.6822,15.42769157,8.662745,23358.33212,-16,76
Iran (Islamic Republic of),0.774,73.8749,14.61524963,10.63645314,13000.7117,15,77
Ukraine,0.773,71.624,14.95656854,11.13142043,13255.50977,11,78
North Macedonia,0.77,73.8415,13.62443234,10.22815037,15917.75283,-3,79
China,0.768,78.2107,14.2361149,7.600118446,17504.39969,-8,82
Dominican Republic,0.767,72.6146,14.46655802,9.306864107,17989.60037,-11,82
Moldova (Republic of),0.767,68.8459,14.43299961,11.82159042,14875.33189,-1,81
Palau,0.767,66.0204,15.78432,12.49143,13818.67869,5,80
Cuba,0.764,73.6829,14.44305992,12.49773438,7878.847482,37,73
Peru,0.762,72.3769,15.38773354,9.885518863,12245.89366,13,85
Armenia,0.759,72.0431,13.11676025,11.33030033,13157.9939,4,87
Mexico,0.758,70.2127,14.86443996,9.221050262,17896.29498,-16,88
Brazil,0.754,72.7504,15.59906006,8.128813955,14369.88848,-5,86
Colombia,0.752,72.8296,14.44274998,8.862859726,14384.35666,-7,88
Saint Vincent and the Grenadines,0.751,69.6291,14.67220567,10.83343029,11961.08792,11,82
Maldives,0.747,79.9182,12.63560963,7.322,15448.12788,-14,97
Algeria,0.745,76.3767,14.62689602,8.069284397,10800.22546,13,96
Azerbaijan,0.745,69.3658,13.49689007,10.5429697,14256.74456,-8,100
Tonga,0.745,70.9857,16.04857063,11.392594,6822.03125,34,90
Turkmenistan,0.745,69.2644,13.21039963,11.26139,13020.7155,-1,93
Ecuador,0.74,73.67,14.62423038,8.817119598,10311.63273,11,99
Mongolia,0.739,70.9754,14.98034954,9.423700333,10588.22532,9,90
Egypt,0.731,70.2207,13.78649972,9.573026174,11731.69056,4,97
Tunisia,0.731,73.7719,15.42538224,7.431598614,10257.54477,10,94
Fiji,0.73,67.114,14.73679,10.92154799,9980.110866,9,94
Suriname,0.73,70.2743,13.03564357,9.77680063,12672.20033,-6,92
Uzbekistan,0.727,70.8616,12.47714043,11.89558983,7916.785725,18,107
Dominica,0.72,72.814,13.3191862,8.142186,11487.62422,0,106
Jordan,0.72,74.2563,10.64655972,10.44668007,9923.714974,8,104
Libya,0.718,71.9112,12.85428,7.599985,15335.712,-27,117
Paraguay,0.717,70.2617,12.98799113,8.861840248,12349.286,-10,100
"Palestine, State of",0.715,73.4727,13.35801029,9.938480377,6582.899416,21,109
Saint Lucia,0.715,71.1114,12.86610985,8.545040131,12048.30381,-7,104
Guyana,0.714,65.6734,12.50272216,8.617477,22464.65734,-47,107
South Africa,0.713,62.341,13.64371014,11.37316036,12948.37325,-17,102
Jamaica,0.709,70.5003,13.40492042,9.154628661,8834.47567,4,110
Samoa,0.707,72.7675,12.41885948,11.4038,5307.953374,24,112
Gabon,0.706,65.821,12.97731,9.436,13366.93455,-25,113
Lebanon,0.706,75.0472,11.28587,8.718636,9525.831467,-1,103
Indonesia,0.705,67.5703,13.74889386,8.556509972,11466.06836,-11,116
Viet Nam,0.703,73.6181,12.9519325,8.370280266,7867.371345,6,113
Philippines,0.699,69.2664,13.12656975,8.969099998,8920.428468,-3,113
Botswana,0.693,61.1409,12.26513765,10.34,16198.31841,-43,110
Bolivia (Plurinational State of),0.692,63.6304,14.94697094,9.827750206,8111.190194,0,119
Kyrgyzstan,0.692,69.9774,13.1953001,11.37410556,4566.303831,26,121
Venezuela (Bolivarian Republic of),0.691,70.5536,12.81608,11.10727736,4810.882621,20,118
Iraq,0.686,70.3779,12.08747317,7.905593489,9977.249073,-12,122
Tajikistan,0.685,71.5942,11.65303618,11.3333938,4547.742427,23,126
Belize,0.683,70.4697,12.99168968,8.847599983,6309.099778,6,120
Morocco,0.683,74.0419,14.15190983,5.916,7302.81917,1,122
El Salvador,0.675,70.7479,12.67134767,7.150929928,8295.665889,-8,124
Nicaragua,0.667,73.8368,12.64135783,7.144,5624.793595,6,129
Bhutan,0.666,71.815,13.22500478,5.170262283,9437.541512,-15,125
Cabo Verde,0.662,74.0518,12.55461444,6.287719287,6230.200199,2,127
Bangladesh,0.661,72.3811,12.44198036,7.379059792,5472.104781,4,128
Tuvalu,0.641,64.5466,9.40443,10.57310772,6351.435899,-2,131
Marshall Islands,0.639,65.2688,10.2393198,10.88313961,4619.535393,12,131
India,0.633,67.2398,11.87462044,6.655109195,6589.980037,-6,130
Ghana,0.632,63.7954,12.04778004,8.329886695,5744.504017,-2,135
Micronesia (Federated States of),0.628,70.71,11.54947988,7.804956,3696.173945,22,136
Guatemala,0.627,69.2368,10.56245041,5.681300163,8723.285317,-20,133
Kiribati,0.624,67.4172,11.801993,7.984461822,4062.586034,14,137
Honduras,0.621,70.1229,10.13281417,7.088479996,5297.955301,-1,138
Sao Tome and Principe,0.618,67.5912,13.36538506,6.215599435,4021.350815,13,139
Namibia,0.615,59.269,11.92720692,7.192013277,8633.504452,-23,134
Lao People's Democratic Republic,0.607,68.0608,10.13611031,5.374,7699.579617,-18,142
Timor-Leste,0.607,67.7369,12.616098,5.43679,4460.869435,7,140
Vanuatu,0.607,70.449,11.53531503,7.064846,3085.411633,23,142
Nepal,0.602,68.4495,12.88694954,5.121792742,3877.315444,10,144
Eswatini (Kingdom of),0.597,57.0657,13.74434586,5.596,7678.591873,-21,141
Equatorial Guinea,0.596,60.5943,9.73494,5.910863,12073.95993,-47,147
Cambodia,0.593,69.5835,11.46772,5.088,4078.697154,3,148
Zimbabwe,0.593,59.2531,12.11096904,8.710908501,3809.887158,9,145
Angola,0.586,61.6434,12.1721,5.417390823,5465.617791,-14,149
Myanmar,0.585,65.6716,10.90913752,6.37680006,3850.524234,5,145
Syrian Arab Republic,0.577,72.0627,9.164219856,5.1,4191.933893,-2,152
Cameroon,0.576,60.3334,13.10859922,6.15131,3620.932408,6,150
Kenya,0.575,61.427,10.69855835,6.652,4473.570344,-6,150
Congo,0.571,63.5187,12.33081527,6.166,2889.283521,11,153
Zambia,0.565,61.2234,10.92876021,7.187091494,3217.767739,7,154
Solomon Islands,0.564,70.3477,10.32869027,5.711848,2481.511362,13,155
Comoros,0.558,63.4174,11.92432393,5.078649,3142.064119,6,156
Papua New Guinea,0.558,65.3506,10.36077074,4.74,4008.623573,-4,157
Mauritania,0.556,64.3636,9.376159668,4.918804891,5075.305711,-20,158
C??te d'Ivoire,0.55,58.5983,10.67558002,5.199138977,5217.448516,-22,159
Tanzania (United Republic of),0.549,66.2007,9.221489906,6.37289871,2664.329096,7,160
Pakistan,0.544,66.0979,8.658349991,4.536330223,4623.70543,-19,161
Togo,0.539,61.6194,12.95049378,5.016807367,2166.619062,12,163
Haiti,0.535,63.1924,9.7,5.554,2847.500746,2,162
Nigeria,0.535,52.676,10.12758388,7.181074153,4790.284425,-22,163
Rwanda,0.534,66.0722,11.23097038,4.425292358,2209.795202,6,165
